iter	Passed	Remaining
0	1	167
1	3	156
2	4	149
3	5	141
4	7	140
5	9	145
6	10	143
7	12	141
8	13	139
9	15	137
10	16	136
11	18	134
12	19	132
13	21	131
14	23	133
15	25	131
16	26	130
17	28	128
18	29	126
19	31	124
20	32	122
21	33	119
22	35	117
23	36	115
24	38	114
25	39	113
26	41	111
27	42	109
28	44	108
29	45	106
30	46	104
31	48	102
32	49	99
33	50	97
34	51	96
35	53	94
36	54	92
37	55	89
38	56	87
39	57	85
40	58	84
41	59	81
42	60	79
43	61	77
44	62	75
45	63	74
46	64	72
47	65	71
48	66	69
49	67	67
50	69	66
51	70	64
52	71	63
53	72	61
54	72	59
55	73	58
56	75	56
57	76	55
58	77	53
59	78	52
60	79	51
61	81	49
62	82	48
63	83	46
64	84	45
65	85	44
66	86	42
67	87	41
68	88	39
69	89	38
70	90	37
71	91	35
72	93	34
73	94	33
74	95	31
75	96	30
76	97	29
77	98	27
78	99	26
79	101	25
80	102	23
81	103	22
82	104	21
83	105	20
84	106	18
85	107	17
86	109	16
87	110	15
88	111	13
89	112	12
90	113	11
91	114	9
92	115	8
93	116	7
94	117	6
95	118	4
96	119	3
97	120	2
98	122	1
99	123	0
